transaction_id,timestamp,sender_id,receiver_id,amount,device,city,transaction_type,status

T000001,2025-07-14 14:17:45,1602,9146,6415.64,MacOS,Mumbai,Send,Pending
T000002,2025-07-14 14:17:47,6981,9960,6197.73,Android,Mumbai,Request,Pending
T000003,2025-07-14 14:17:49,9417,1339,6601.42,MacOS,Chennai,Receive,Success
T000004,2025-07-14 14:17:51,7404,6938,6580.86,IOS,Delhi,Send,Pending
T000005,2025-07-14 14:17:53,7537,4598,8316.7,MacOS,Delhi,Request,Success
T000006,2025-07-14 14:17:55,7784,2035,8640.24,Android,Delhi,Send,Failed
T000007,2025-07-14 14:17:57,7546,8612,7826.66,MacOS,Chennai,Send,Success
T000008,2025-07-14 14:17:59,2437,5401,7872.04,IOS,Delhi,Receive,Pending
T000009,2025-07-14 14:18:01,7506,5332,333.79,MacOS,Bangalore,Request,Failed
T000010,2025-07-14 14:18:03,3537,3389,8887.33,MacOS,Kolkata,Receive,Pending
T000011,2025-07-14 14:18:05,8792,6726,5850.84,Android,Delhi,Receive,Success
T000012,2025-07-14 14:18:07,1442,4893,9778.94,IOS,Chennai,Send,Success
T000013,2025-07-14 14:18:09,2835,1498,4310.85,MacOS,Delhi,Request,Pending
T000014,2025-07-14 14:18:11,7169,4654,4401.44,MacOS,Delhi,Send,Failed
T000015,2025-07-14 14:18:13,8336,1302,5790.84,MacOS,Chennai,Request,Failed
T000016,2025-07-14 14:18:15,4430,2969,7612.59,Android,Bangalore,Receive,Failed
T000017,2025-07-14 14:18:17,9902,8814,4052.69,MacOS,Chennai,Request,Pending
T000018,2025-07-14 14:18:19,9438,5573,3375.67,Android,Kolkata,Send,Success
T000019,2025-07-14 14:18:21,4214,6893,2162.2,IOS,Mumbai,Send,Success
T000020,2025-07-14 14:18:23,3307,9495,2917.21,Android,Kolkata,Send,Pending
T000021,2025-07-14 14:18:25,8418,1944,3362.93,IOS,Chennai,Request,Failed
T000022,2025-07-14 14:18:27,2645,8752,7887.79,Android,Chennai,Receive,Failed
T000023,2025-07-14 14:18:29,8331,1166,2681.15,IOS,Chennai,Receive,Success
T000024,2025-07-14 14:18:31,6108,9699,4998.04,IOS,Delhi,Request,Success
T000025,2025-07-14 14:18:33,4360,4840,2578.98,Android,Kolkata,Send,Success
T000026,2025-07-14 14:18:35,5504,9566,6683.54,Android,Kolkata,Request,Pending
