transaction_id,timestamp,sender_id,receiver_id,amount,device,city,transaction_type,status,is_fraud
T001081,2025-07-14 01:12:05,8077,1304,1604.15,IOS,Chennai,Request,Failed,False
T001086,2025-07-14 01:12:15,7413,7232,9223.6,IOS,Kolkata,Receive,Pending,False
T001118,2025-07-14 01:15:11,6785,3830,7858.98,MacOS,Kolkata,Send,Pending,False
T001121,2025-07-14 01:15:17,3795,7307,3300.29,Android,Delhi,Receive,Failed,False
T001123,2025-07-14 01:15:21,9125,2698,9890.19,MacOS,Kolkata,Send,Failed,False
T001124,2025-07-14 01:15:23,7859,7668,7062.61,Android,Kolkata,Receive,Failed,False
T001126,2025-07-14 01:15:27,9624,7769,4907.45,IOS,Kolkata,Receive,Success,False
T001129,2025-07-14 01:15:33,8896,8293,3132.48,MacOS,Kolkata,Receive,Failed,False
T001131,2025-07-14 01:15:37,2805,1057,6035.34,IOS,Delhi,Send,Failed,False
T001135,2025-07-14 01:15:45,7555,4812,7349.92,MacOS,Chennai,Send,Failed,False
T001137,2025-07-14 01:15:49,4371,2286,8676.35,MacOS,Kolkata,Send,Pending,False
T001138,2025-07-14 01:15:51,6188,6572,7402.55,IOS,Kolkata,Request,Success,False
T001140,2025-07-14 01:15:55,8534,7810,5545.92,IOS,Kolkata,Receive,Failed,False
T001142,2025-07-14 01:15:59,3112,9976,9485.06,IOS,Bangalore,Receive,Pending,False
T001143,2025-07-14 01:16:01,5915,4383,4455.08,IOS,Bangalore,Receive,Pending,False
T001145,2025-07-14 01:16:05,3694,5288,7893.4,IOS,Chennai,Receive,Success,False
T001150,2025-07-14 01:16:15,7977,6559,7812.66,MacOS,Delhi,Request,Pending,False
T001151,2025-07-14 01:16:17,7110,6716,609.35,IOS,Bangalore,Send,Failed,False
T001153,2025-07-14 01:16:21,8232,2753,9971.54,MacOS,Delhi,Request,Pending,False
T001154,2025-07-14 01:16:23,9934,6214,7022.33,MacOS,Kolkata,Request,Success,False
T001158,2025-07-14 01:16:31,5517,8455,5480.01,Android,Chennai,Request,Failed,False
